artist_name,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,genre
Glass Animals,Tangerine,69,0.845,0.583,9,-5.948,0,0.0773,0.114,0.000536,0.1,0.842,149.941,200584,4,Indie_Alt
The OBGMs,All My Friends,30,0.516,0.923,7,-5.288,1,0.0345,0.0000347,0.000145,0.0944,0.541,104.982,200117,4,Indie_Alt
Fleshkiller,Parallel Kingdom,20,0.45,0.977,1,-4.172,1,0.122,0.00000426,0.532,0.414,0.256,130.009,266222,3,Metal
W.A.S.P.,Chainsaw Charlie(Murders In The New Morgue),43,0.232,0.961,5,-7.454,0,0.161,0.0000353,0.158,0.157,0.297,154.418,523347,4,Metal
Saxon,Princess of the Night - 2009 Remastered Version,51,0.362,0.797,3,-8.824,0,0.0424,0.00328,0.000002,0.0668,0.753,107.249,242573,4,Metal
Stitched Up Heart,My Demon,45,0.473,0.927,6,-2.348,0,0.187,0.00415,0.00000982,0.384,0.352,156.936,189773,4,Metal
Set and Setting,Ecdysis,25,0.504,0.879,4,-6.489,0,0.0575,0.0000834,0.791,0.108,0.259,119.985,429093,3,Metal
Fickle Friends,IRL,46,0.666,0.815,5,-5.692,1,0.0622,0.0702,0.0000357,0.762,0.788,101.972,204065,4,Pop
H.E.R.,I Can't Breathe,64,0.703,0.705,1,-6.676,0,0.34,0.135,0.00000197,0.0611,0.601,138.227,287322,4,HipHop
John Hanks,Grenada Plaza,47,0.649,0.103,9,-18.252,0,0.0511,0.978,0.45,0.11,0.118,50.767,2.818866667,4,Instrumental
Lilith Czar,Anarchy,54,0.427,0.617,5,-6.246,0,0.084,0.00207,0.0000289,0.241,0.403,113.216,234798,4,Rock
Long Island Quartet,I Remember Clifford,48,0.447,0.0848,,-18.481,0,0.0378,0.954,0.745,0.113,0.268,109.703,3.066116667,4,Instrumental
Mr. Big,To Be With You - 2010 Remastered Version,73,0.688,0.375,4,-9.601,1,0.0535,0.286,,0.133,0.45,83.635,210480,4,Rock
Lamb of God,Laid to Rest,65,0.366,0.956,10,-3.725,0,0.108,0.000293,0.00447,0.449,0.159,104.016,230127,3,Metal
Bad/Love,Follow the Leader,40,0.452,0.862,10,-4.293,0,0.0616,0.000153,,0.178,0.164,83.093,211696,4,Metal
Fightstar,The English Way - Acoustic Version,37,0.475,0.423,7,-10.163,1,0.0315,0.583,0.00000162,0.0904,0.657,159.911,193453,4,Rock
Benny The Butcher,Blue Money,12,0.453,0.91,4,-4.55,1,0.321,0.00236,0.00000551,0.129,0.665,158.36,206842,4,HipHop
Pink Sweat$,Heaven,66,0.78,0.389,6,-8.877,0,0.0776,0.491,0.00242,0.0699,0.188,121.919,169749,3,Pop
Bobby Lee,Four Skies Above,22,0.388,0.452,2,-8.704,1,0.036,0.858,0.816,0.111,0.0381,84.924,166367,4,Indie_Alt
Matt Hall,A Thousand Tears Ago,23,0.293,0.59,11,-5.271,1,0.182,0.169,,0.17,0.45,74.147,170296,4,Pop
Love Fame Tragedy,5150,42,0.608,0.562,,-5.63,1,0.077,0.0756,,0.103,0.66,179.988,189293,4,Indie_Alt
Architects,Dead Butterflies,59,0.433,0.863,3,-4.941,0,0.0565,0.00148,0.00342,0.0931,0.425,125.021,242407,4,Metal
"Christone ""Kingfish"" Ingram",Rock & Roll,51,0.532,0.473,2,-7.179,1,0.0295,0.647,0.00000803,0.0753,0.345,145.072,290483,3,Blues
Demrick,Another Day,10,0.578,0.896,2,-5.562,1,0.406,0.00276,0.0000126,0.221,0.362,185.64,136704,4,HipHop
Duke Dumont,Alter Ego,28,0.733,0.903,8,-6.019,1,0.0627,0.00592,0.489,0.0803,0.728,124.992,205497,4,Pop
John Mellencamp,Paper In Fire,52,0.607,0.905,4,-4.748,1,0.0427,0.00122,0.000276,0.0624,0.533,141.984,231200,4,Rock
Trisha Yearwood,Shallow (The Duet with Garth Brooks and Trisha Yearwood),60,0.359,0.392,5,-7.879,1,0.0292,0.569,,0.112,0.369,95.494,3.697816667,4,Country
Alvvays,In Undertow,53,0.357,0.69,1,-2.626,1,0.044,0.000115,0.00167,0.101,0.308,116.91,197187,4,Indie_Alt
Amy Macdonald,This Is The Life,72,0.628,0.882,1,-5.024,0,0.0323,0.259,,0.065,0.853,95.083,184413,4,Pop
Michael Bublé,Lost - Live from Madison Square Garden,35,0.442,0.342,11,-8.65,1,0.0356,0.672,,0.809,0.268,131.289,3.936666667,4,Pop
Abbath,Harvest Pyre,36,0.287,0.962,6,-4.235,1,0.0605,0.0000037,0.887,0.34,0.255,173.094,252067,4,Metal
True God,Money Mitch,28,0.464,0.68,7,-9.297,0,0.483,0.342,,0.325,0.522,172.771,234632,4,HipHop
Traceless,Ghost,33,0.469,0.85,6,-3.865,0,0.124,0.0133,0.0000547,0.148,0.435,146.97,180677,4,Metal
Goat,Goatfuzz,34,0.426,0.899,11,-2.658,0,0.0301,0.000546,0.721,0.17,0.562,79.07,416760,4,Rock
Bumpin Uglies,Serotonin,41,0.684,0.788,8,-5.627,1,0.0424,0.0311,0.0000317,0.0632,0.793,83.011,181370,4,Rock
Julia Stone,Dance,45,0.608,0.471,9,-9.709,0,0.031,0.458,0.0145,0.124,0.295,113.032,179965,4,Indie_Alt
"Peter, Paul and Mary","Don't Think Twice, It's All Right",56,0.437,0.104,3,-22.533,1,0.0307,0.893,0.00124,0.11,0.544,101.718,3.27445,4,Acoustic/Folk
J√≥hann J√≥hannsson,Wrestling,35,0.124,0.0712,10,-24.035,1,0.0418,0.939,0.789,0.0801,0.0407,154.206,168230,3,Alt_Music
Fantastic Negrito,Working Poor,39,0.765,0.636,4,-8.158,0,0.0479,0.0563,0.000337,0.118,0.518,83.524,240726,4,Blues
Haiva Ru,Work It On Out,41,0.712,0.604,11,-8.961,0,0.0307,0.0478,0.00000102,0.117,0.566,110.022,225969,4,Pop
We Three Trio,Skating,49,0.526,0.341,10,-17.948,0,0.036,0.886,0.921,0.0953,0.169,123.366,3.283333333,3,Instrumental
Johnny Rodriguez,Pass Me By,38,0.661,0.4,7,-6.499,1,0.0245,0.678,,0.0697,0.397,101.025,2.629116667,4,Country
Superlove,btw! i adore u,37,0.536,0.836,,-5.976,1,0.0948,0.000233,0.00177,0.402,0.576,82.526,200909,4,Alt_Music
VEXED,Hideous,38,0.34,0.983,6,-3.152,0,0.222,0.000816,0.00000349,0.667,0.0921,159.996,254000,3,Metal
Drake,Toosie Slide,80,0.834,0.454,1,-9.75,0,0.201,0.321,0.00000615,0.114,0.837,81.618,247059,4,Pop
Mrigya,Rock The Raag,8,0.299,0.811,7,-7.647,1,0.0948,0.068,0.112,0.459,0.709,89.986,7.54045,4,Acoustic/Folk
T.G. Sheppard,Do You Wanna Go to Heaven,34,0.651,0.527,1,-12.564,1,0.0283,0.559,0.00104,0.107,0.698,90.619,3.178883333,4,Country
Chastity Belt,The Process,34,0.601,0.657,2,-8.673,0,0.0274,0.362,0.532,0.156,0.288,125,293026,4,Indie_Alt
"Vishal-Shekhar, Julius Packiam, Atif Aslam, Irshad Kamil",Dil Diyan Gallan,64,0.716,0.64,2,-8.726,1,0.025,0.565,0.00139,0.127,0.485,105.012,4.342283333,4,Bollywood
Habe,Soho,35,0.713,0.537,1,-6.456,0,0.0603,0.471,0.424,0.283,0.635,83.023,242892,4,Indie_Alt
Fontaines D.C.,A Hero's Death,50,0.705,0.812,10,-8.08,0,0.0361,0.00158,0.000514,0.103,0.611,109.976,269540,4,Rock
Christopher Varela,Deep Forest - Cello Version,46,0.085,0.137,2,-15.559,1,0.0435,0.98,0.951,0.109,0.0592,167.408,1.880716667,4,Instrumental
Chris Stapleton,Midnight Train To Memphis,61,0.28,0.93,9,-7.573,1,0.104,0.0014,0.011,0.371,0.623,177.258,222653,3,Rock
Muse,"Hungry Like the Wolf - Recorded Live at AIR Studios, London",54,0.51,0.963,,-3.659,1,0.0422,0.00111,,0.743,0.732,129.035,189249,4,Rock
LOVA,Dance For The Hell Of It,55,0.638,0.705,8,-4.499,1,0.0406,0.0178,,0.124,0.503,160.07,195199,4,Pop
Jamestown Revival,Crazy World (Judgement Day),51,0.632,0.562,7,-7.794,1,0.0248,0.44,0.000911,0.153,0.297,97.991,280813,4,Alt_Music
Preditah,Sword,16,0.53,0.308,1,-11.618,0,0.424,0.292,0.83,0.0837,0.346,212.049,306880,3,HipHop
Rendezvous Point,Digital Waste,28,0.359,0.847,9,-5.648,1,0.0938,0.000277,0.00000901,0.231,0.1,135.465,262133,4,Metal
Kate Bush,Wuthering Heights,69,0.481,0.392,1,-11.381,1,0.0312,0.366,0.0452,0.124,0.52,124.572,269067,4,Indie_Alt
ZZ Top,Sharp Dressed Man - 2019 Remaster,41,0.647,0.787,5,-7.476,1,0.0255,0.00043,0.00247,0.105,0.393,125.111,252747,4,Rock
Wayward Sons,Even up the Score,31,0.364,0.968,1,-2.792,1,0.0547,0.00000692,0.0655,0.0904,0.626,166.857,185527,4,Metal
Dustin Tebbutt,Love Is Blind,34,0.571,0.477,2,-12.319,1,0.0392,0.6,0.391,0.111,0.466,77.954,3.88453333,4,Acoustic/Folk
Jack Curley,I‚Äôm Here for You,51,0.663,0.649,8,-6.936,0,0.0296,0.0173,,0.113,0.594,137.955,198890,4,Pop
Asha Bhosle,Jeene Ke Bahane Lakhon Hain,27,0.636,0.692,3,-11.06,0,0.0351,0.31,,0.0979,0.9,123.611,6.019783333,4,Bollywood
Lords Of The Underground,Funky Child,48,0.859,0.635,10,-9.532,0,0.193,0.0356,0.00346,0.13,0.53,96.571,271067,4,HipHop
Japandroids,The House That Heaven Built,46,0.322,0.985,,-3.494,1,0.14,0.000522,0.00865,0.0964,0.0815,161.195,289150,4,Indie_Alt
Giant Rooks,Wild Stare,50,0.646,0.82,10,-3.618,0,0.0521,0.026,0.000171,0.191,0.438,128.061,194480,4,Rock
Jacky Terrasson,Sous Le Ciel De Paris,48,0.323,0.118,5,-22.751,0,0.0449,0.195,0.694,0.241,0.0747,79.554,4.081116667,4,Instrumental
Roy Orbison,"Oh, Pretty Woman",74,0.619,0.603,9,-9.481,1,0.0342,0.712,,0.0721,0.958,127.433,178933,4,Rock
FCG Heem,Beef (feat. Pooh Shiesty),46,0.701,0.54,1,-7.43,0,0.201,0.55,,0.108,0.683,84.967,225879,4,HipHop
The Black Crowes,Jealous Again,55,0.633,0.842,7,-4.642,1,0.0262,0.111,,0.139,0.674,114.449,275067,4,Rock
tiLLie,loud mouth,38,0.585,0.891,9,-4.431,1,0.176,0.036,,0.0671,0.727,162.096,206216,4,Rock
Dugong Jr,Ceramic,43,0.789,0.745,8,-9.841,1,0.418,0.565,0.0000608,0.0883,0.578,111.045,241834,4,Indie_Alt
Frances Forever,Space Girl,3,0.67,0.398,9,-9.14,1,0.0306,0.319,0.000113,0.38,0.219,125.983,3.85715,4,Pop
Emperor,Ye Entrancemperium,38,0.141,0.938,,-4.221,1,0.065,0.0000768,0.879,0.434,0.0359,139.186,314907,5,Metal
Alabama Shakes,Sound & Color,55,0.548,0.428,2,-7.399,1,0.0608,0.847,0.608,0.0827,0.181,114.752,182467,4,Blues
Lauren Sanderson,QUEEN BEE,46,0.8,0.627,7,-8.477,1,0.0585,0.101,,0.19,0.862,120.036,148250,4,Rock
Johnny Thunders & The Heartbreakers,Born to Lose,44,0.395,0.892,11,-8.07,1,0.0537,0.0797,,0.706,0.67,148.43,184120,4,Indie_Alt
Chubby Checker,Let's Twist Again,65,0.604,0.709,8,-6.377,1,0.158,0.0987,,0.0551,0.907,167.832,2.28933333,4,Rock
AJ Ghent [ j-ent ],Power,40,0.462,0.859,11,-5.34,0,0.043,0.00269,0.0000461,0.36,0.69,147.982,221106,4,Rock
The Last Shadow Puppets,Bad Habits,49,0.52,0.642,9,-7.546,1,0.0434,0.000517,0.0017,0.0794,0.449,88.967,180968,4,Rock
Sofia Kourtesis,By Your Side,58,0.887,0.823,5,-7.57,0,0.0462,0.0237,0.731,0.593,0.641,121.993,367363,4,Alt_Music
Hozier,Almost (Sweet Music),66,0.523,0.687,7,-5.601,1,0.105,0.0215,0.00000286,0.203,0.711,90.036,217480,4,Pop
Light The Torch,More Than Dreaming,51,0.483,0.941,2,-5.599,0,0.0718,0.000338,0.0903,0.452,0.418,102.568,189895,4,Metal
Dave Matthews Band,Crash into Me,57,0.541,0.677,4,-10.764,1,0.0373,0.122,0.0191,0.0938,0.555,101.1,316467,4,Rock
Beyonc√©,Freedom (feat. Kendrick Lamar),64,0.437,0.803,2,-6.412,1,0.305,0.0376,,0.683,0.406,84.378,289760,4,HipHop
The Coral,Dreaming of You,65,0.441,0.684,9,-7.495,0,0.031,0.374,0.000848,0.108,0.971,199.001,141000,4,Indie_Alt
Faces,Borstal Boys,29,0.42,0.956,,-6.475,1,0.0462,0.118,0.0000151,0.26,0.904,152.758,173027,4,Blues
Velvet Revolver,Slither,66,0.478,0.974,7,-3.866,1,0.102,0.000266,0.0984,0.0738,0.268,141.077,248307,4,Alt_Music
Ashnikko,Daisy,80,0.834,0.663,8,-6.143,1,0.133,0.235,,0.372,0.774,121.876,146523,4,Pop
Salt-N-Pepa,Push It,68,0.913,0.596,11,-12.477,0,0.0707,0.00658,0.00349,0.078,0.973,127.215,272133,4,HipHop
Smash Into Pieces,Ride with U,46,0.638,0.76,1,-4.215,0,0.0322,0.0793,,0.438,0.786,110.047,191182,4,Pop
Mumford & Sons,Believe,59,0.332,0.667,2,-5.992,1,0.0456,0.0308,0.035,0.225,0.378,114.892,220867,4,Rock
Tamar Eisenman,Ding Dong,8,0.541,0.745,4,-7.888,1,0.0569,0.42,0.00443,0.111,0.432,130.096,255199,4,Indie_Alt
cleopatrick,bernard trigger,48,0.374,0.792,11,-4.118,1,0.0365,0.00044,0.0822,0.185,0.339,117.548,209049,4,Rock
With Confidence,Moving Boxes,54,0.607,0.743,2,-4.984,1,0.0375,0.000569,0.0000111,0.201,0.751,127.942,195867,4,Rock
Six Feet Under,TNT,43,0.615,0.893,5,-6.139,1,0.102,0.00291,0.00472,0.199,0.555,127.834,208533,4,Metal
Softcult,Another Bish,39,0.556,0.541,4,-6.018,1,0.0292,0.00476,0.0171,0.128,0.553,96.531,175421,4,Alt_Music
Psychic Ills,I Don't Mind,41,0.191,0.376,1,-9.946,1,0.0341,0.47,0.775,0.104,0.194,159.53,280720,3,Indie_Alt
Creedence Clearwater Revival,I Put A Spell On You - Live At The Woodstock Music & Art Fair / 1969,38,0.33,0.922,,-6.189,1,0.0609,0.0156,0.03,0.839,0.64,112.907,268080,4,Rock
James Vincent McMorrow,I Should Go (with Kenny Beats),55,0.855,0.583,9,-5.277,0,0.074,0.196,0.000276,0.0766,0.902,134.953,144227,4,Alt_Music
Wolfmother,Woman,60,0.191,0.948,9,-3.496,0,0.217,0.0000278,0.0864,0.0945,0.215,150.753,175667,4,Rock
Albert King,Born Under A Bad Sign - Mono Mix,59,0.711,0.483,11,-11.211,1,0.0298,0.434,0.012,0.0284,0.884,91.652,169998,4,Blues
X-Ray Spex,Germ Free Adolescents,45,0.832,0.704,7,-8.973,1,0.0707,0.201,0.0377,0.0937,0.905,128.41,194267,4,Indie_Alt
–ì—Ä—É–ø–ø–∞ –•–º—É—Ä—ã–π,–ù–ï–í–ó–ê–ò–ú–ù–û (–ù–ï –°–û –ú–ù–û–ô),25,0.484,0.863,10,-7.548,1,0.0465,0.00198,0.582,0.0667,0.623,133.052,186500,4,Indie_Alt
Cisco Adler,Sunday Vibe,58,0.747,0.662,7,-7.008,1,0.198,0.583,,0.136,0.532,155.78,186760,4,Rock
Ramones,Rock 'n' Roll High School - 2002 Remaster,56,0.499,0.87,,-4.431,1,0.126,0.0183,,0.0512,0.893,188.853,137400,4,Rock
Norah Jones,"Jesus, Etc.",44,0.673,0.224,9,-11.673,1,0.0327,0.916,0.0000224,0.868,0.572,114.724,223133,4,Indie_Alt
The Doors,The End,61,0.347,0.302,,-12.104,1,0.0291,0.163,0.0000917,0.14,0.0332,105.702,703373,4,Rock
Journey,Suzanne,44,0.52,0.952,10,-2.304,1,0.0538,0.23,0.0000252,0.325,0.574,88.002,3.64821667,4,Rock
The Bohicas,Where You At,35,0.44,0.922,,-5.381,1,0.0596,0.0000623,0.158,0.229,0.694,173.016,168756,4,Rock
Mason Hill,Against the Wall,42,0.566,0.699,3,-6.526,0,0.0296,0.000228,,0.34,0.472,126.043,261387,4,Rock
Trey Anastasio,Sand - Live,26,0.508,0.862,7,-7.315,1,0.0949,0.0118,0.309,0.741,0.519,106.632,617858,4,Rock
"Megan Davies, Jaclyn Davies",Blank Space / Jealous (Acoustic Mashup),47,0.716,0.3,3,-7.5,1,0.0493,0.793,,0.0924,0.367,94.936,4.67895,4,Acoustic/Folk
The Cure,Friday I'm In Love,75,0.526,0.763,,-12.663,0,0.0341,0.00126,0.0000675,0.359,0.514,136.205,215160,4,Indie_Alt
Kllo,Virtue,28,0.72,0.748,,-7.497,1,0.0704,0.363,0.045,0.122,0.26,127.994,220265,4,Indie_Alt
Westlife,Talk Me Down,1,0.345,0.346,4,-8.168,1,0.0284,0.496,0.00000621,0.117,0.155,149.713,4.03045,4,Pop
Motionless In White,Another Life,71,0.39,0.939,4,-3.828,0,0.0787,0.0000508,,0.0968,0.495,161.997,205394,4,Rock
Liz Lawrence,California Screaming,41,0.609,0.796,9,-8.157,1,0.0331,0.0186,0.921,0.626,0.819,155.046,197000,4,Indie_Alt
Gorillaz,The Valley of The Pagans (feat. Beck),64,0.75,0.856,2,-5.802,1,0.0457,0.0778,0.0000365,0.117,0.94,130.034,181029,4,Indie_Alt
Cohen,Parash Boded,28,0.517,0.556,,-9.833,0,0.0709,0.454,,0.207,0.466,78.89,186901,4,HipHop
Saint Motel,It's All Happening,55,0.618,0.662,,-4.797,1,0.0262,0.0028,0.000724,0.107,0.398,127.985,180187,4,Rock
tricot,potage,47,0.296,0.577,,-4.516,0,0.0391,0.0204,0.00000102,0.121,0.497,87.028,246915,4,Rock
Guns N' Roses,Mama Kin,40,0.335,0.916,3,-8.521,1,0.0914,0.00397,0.584,0.938,0.67,155.115,235173,4,Rock
Wolf People,Silbury Sands,36,0.221,0.81,9,-5.689,1,0.0427,0.00579,0.0853,0.103,0.366,87.285,318960,4,Rock
Annihilator,Dressed Up For Evil,27,0.479,0.987,6,-4.297,1,0.0896,0.0000242,0.123,0.834,0.439,129.974,280865,4,Metal
